symbol,unit_cost,shares,currency,market,owner,client,platform,note,link
BABA,74.20,80,USD,US,Michael,false,,,https://au.finance.yahoo.com/quote/BABA/
6634.TWO,51.65,6000,TWD,Taiwan,Michael,false,,,https://au.finance.yahoo.com/quote/6634.TWO/
6451.TW,215.15,550,TWD,Taiwan,Michael,false,,,https://au.finance.yahoo.com/quote/6451.TW/
6451.TW,199.97,623,TWD,Taiwan,Michael,false,,,https://au.finance.yahoo.com/quote/6451.TW/
SIVE.ST,28.10,728,SEK,Sweden,Michael,false,,,https://au.finance.yahoo.com/quote/SIVE.ST/
IQE.L,71.24,1250,GBp,UK,Michael,false,,,https://au.finance.yahoo.com/quote/IQE.L/
VITL,13.41,450,USD,US,Michael,false,,,https://au.finance.yahoo.com/quote/VITL/
VITL,13.78,94,USD,US,Michael,false,,,https://au.finance.yahoo.com/quote/VITL/
ADBE,237.51,7,USD,US,Michael,false,,,https://au.finance.yahoo.com/quote/ADBE/
NVO,48.72,120,USD,US,Michael,false,,,https://au.finance.yahoo.com/quote/NVO/
PFE,24.52,150,USD,US,Michael,false,,,https://au.finance.yahoo.com/quote/PFE/
OXY,38.00,85,USD,US,Michael,false,,,https://au.finance.yahoo.com/quote/OXY/
OXY,49.58,155,USD,US,Michael,false,,,https://au.finance.yahoo.com/quote/OXY/
LWLG,16.80,60,USD,US,Michael,false,,,https://au.finance.yahoo.com/quote/LWLG/
TPRO.MI,19.50,100,EUR,Italy,Michael,false,,,https://au.finance.yahoo.com/quote/TPRO.MI/
USAR,32.04,25,USD,US,Michael,false,,,https://au.finance.yahoo.com/quote/USAR/
SMHN.DE,70.62,13,EUR,Germany,Michael,false,,,https://au.finance.yahoo.com/quote/SMHN.DE/
